label,text,len
ham,yes series,0.04
ham,go to pick way home  pain kill,0.108
ham,ha ha ha good joke girl situation seeker,0.048
ham,check,0.025
ham,sorry roommate take forever come,0.056
ham,lar double check da hair dresser say wun cut v short say cut look nice,0.11
spam,value customer advise follow recent review mob award bonus prize,0.152
ham,today day song u dedicate send ur valuable,0.124
spam,urgent ur award complimentary trip claim dis  ,0.159
spam,hear new come ken stuff,0.08
ham,plane month end,0.034
ham,wah lucky man save money ,0.046
ham,finished class,0.029
ham,hi babe home ,0.045
ham,k perform,0.042
ham,u,0.02
ham,wait machan free,0.043
ham,s cool gentleman treat dignity respect,0.073
ham,like people shy pa,0.05
ham,operate,0.042
ham, look job ta earn,0.076
ham,sorry later,0.022
ham,ah,0.032
ham,way home hi hi,0.032
ham,place man,0.036
ham,stop,0.014
ham,later network ,0.055
ham,real u get yo need ticket jacket ,0.121
ham,yes start send request pain come bed double coin factory get to cash nitro,0.144
ham,tonight babe,0.042
ham,come wen ur free,0.041
ham,yeah don t stand close tho catch,0.062
ham,sorry pain meet night spend late afternoon casualty mean y include time sheet sorry,0.195
ham,smile pleasure smile pain smile trouble pour like rain smile hurt u smile love u smile,0.141
spam,customer service representative win guarantee cash prize,0.137
ham,not plan buy later check get e afternoon u finish work,0.107
spam,free wait collect simply text password verify usher ,0.125
ham,watch movie wat u,0.033
ham, finish load loan pay,0.051
ham,hi  yes bit run forget hairdresser appointment need home n shower cause prob ham,0.184
ham,text ,0.057
ham,ur price long legal wen pick y u ave x am,0.081
ham,look car buy go driving test,0.076
ham,request set caller press copy friend,0.16
ham,wow right mean guess give boston man change search location change page say boston,0.183
ham,life love lot dear,0.044
ham,thank lot wish birthday thank make birthday truly memorable,0.095
ham,hit cash,0.043
ham,address test consider computer server,0.082
ham,know grumpy old people like well lie play joke,0.115
ham,not worry guess busy,0.03
ham,plural noun research,0.04
ham,go,0.031
ham,cos like try new thing scare u dun like cos u say loud,0.096
spam,gent try contact weekend draw show win prize guarantee  claim code valid ,0.158
ham,wa ur sentence formal fine n weight  special happen,0.143
ham,enter cabin pa say happy boss feel special lunch lunch invite apartment go,0.156
spam,winner u specially select receive holiday speak live operator claim min,0.152
ham, yes speak egg potato ratio tortilla need,0.072
ham,uncle inform pay school directly buy food,0.086
spam,private account statement show unredeemed bonus claim identifier code expire,0.144
spam,urgent mobile award bonus caller prize final try contact u landline ,0.156
ham,new address,0.053
spam,number end select receive award match quote claim code standard rate,0.156
ham,go sao mu today ,0.052
ham,predict wat time finish,0.04
ham,good stuff,0.02
ham,know send money send text bother send not involve impose place,0.244
ham,room,0.022
ham,hey girl r u hope u r  r long time c sum time,0.107
ham,k cost,0.028
ham,home,0.009
ham,dear,0.039
ham,answer question,0.025
spam,sunshine quiz q win player u know country  tyrone,0.125
spam,want lay tonight want real location send direct ur mob join large network gravel   ,0.162
ham, ,0.038
ham, meet,0.034
ham, check room activity,0.046
spam,chat free service text u u age verify yr network try,0.155
ham,got c lazy type forget see pouch like v nice,0.086
ham,k text way,0.033
ham,sir wait mail,0.027
ham,think tired little thing lovable person coz little thing occupy d big heart gud,0.158
ham,know open,0.042
ham,yes ya dot,0.025
ham,s staff take class,0.048
spam,reply text randy sexy female live local hear reply stop end,0.159
ham,check life begin pray hard,0.084
ham,k delete contact,0.033
ham,get job soft,0.03
ham,wine flow,0.045
ham,cine well cos need plaza,0.059
ham,ur typical reply,0.025
ham,request set caller press copy friend,0.16
ham,dirt floor window shirt open mouth comes flow dream world half chore time joy lot show guess like thing exist like rain hail mist time,0.384
ham,work,0.028
ham,leave house,0.027
ham,hello love  interview today happy good boy think miss,0.157
spam,customer service new delivery wait arrange delivery,0.124
spam,winner u specially select receive cash holiday speak live operator claim,0.145
ham,safe need miss envy real life,0.115
ham,new car house new job hand,0.064
ham,love excited day spend happy,0.085
spam,stop f invite friend reply stop send stop,0.152
spam,ur order way u receive service ur content u wap ur mobile service menu,0.155
ham,place ur point e culture module,0.051
spam,urgent try contact weekend draw show win prize guarantee  claim code valid ,0.156
ham,hi good way avoid wit beloved,0.074
ham,great escape fancy bridge need lager ,0.067
ham,yes completely utter waste,0.059
ham,sir need axis bank account bank address,0.05
ham, sure get time hop ya free u discuss,0.094
ham,time come later,0.033
ham,bloody hell not believe forget surname ill u clue begin m,0.105
ham,go to finish bath good fine night,0.061
ham,let know get money,0.065
ham,u go mall,0.026
ham,turn friend stay will til feel free ahead smoke worth,0.146
ham,text not reply let know log,0.066
ham,hi speak like know satisfied experience reply toll free yes,0.126
ham,lift hope offer money need especially end month approach hurt anyway weekend,0.159
ham, u trust,0.023
ham, gentleman treat dignity respect,0.065
ham,guy close,0.024
ham,go,0.026
ham,hello handsome find job lazy work get net mummy  miss,0.152
ham,awesome minute,0.034
spam,customer service representative win guarantee cash prize,0.147
ham,get radio time ,0.055
ham,reach home bathe sis net tell u finish k,0.088
spam,unique find august ,0.072
ham,sorry join league people not touch mean great deal friend time great personal cost great,0.185
ham,hi finally complete course,0.037
ham,stop suggest stay able or stool,0.111
ham, hope settle new school year day,0.092
ham,gud dear nice day,0.028
ham,u get person story,0.028
ham,hamster dead hey meet orchard,0.064
ham,hi evening hope tomorrow bit bloody u ,0.131
ham,find,0.04
ham,send buck,0.028
ham,hello finish college u finish u love,0.084
ham,account refill successfully account balance transaction id,0.174
ham,sleep ga,0.024
ham,u alter,0.025
ham,like dun buy lar,0.064
ham,enter cabin pa say happy boss feel special lunch lunch invite apartment go,0.156
ham,yo straight,0.028
ham,connection today refund bill,0.086
ham,shoot big load ready,0.039
ham,hope great break rewarding semester,0.073
ham,home chat,0.026
ham,,0.023
ham,,0.024
ham,sound great home,0.031
ham,finally match head draw prediction,0.058
ham,tired sleep past night,0.048
ham,easy get select mean good,0.041
ham,exam march,0.032
ham,yeah think use register sure help let know sure ready,0.159
ham,prob ur time,0.025
ham,os call run hard disk use os copy important file system repair shop,0.161
ham,sorry later,0.022
ham,u course happen lar v romantic bit e scenery nice,0.119
spam,new collect,0.142
ham,appreciate need talk,0.069
spam,u meet ur dream partner soon ur career start find free follow ur star sign,0.137
ham,hey company po,0.03
ham,life strict teacher teacher teach lesson conduct exam life conduct exam teach happy morning,0.165
ham,dear good morning,0.034
ham,walk cross cut road right street road turn right,0.109
ham,dear go rubber place,0.037
ham,sorry battery die yeah ,0.033
ham,available work place,0.048
spam,text meet sexy today u find date flirt join reply age sam pence,0.157
ham,print oh come upstairs,0.05
ham,ill little close like bus stop street,0.065
ham,reach,0.038
ham,new theory argument win d situation lose person not argue ur friend kick correct,0.145
spam,u secret admirer look contact u find think ur special,0.145
ham,final hearing case not,0.051
ham,v,0.045
ham, shine mean sign sound well,0.083
ham,tell u face watch like e watch u give cos today touch,0.155
ham,u remember old commercial,0.037
ham,late say not slipper,0.078
ham,ask,0.03
ham,will not bat,0.031
ham,not work oh  fix ready time wake dearly miss good night sleep,0.146
spam,congratulation ur award voucher guarantee free entry draw music,0.15
ham,cal hold,0.044
ham,wen ur lovable angry wid u seriously coz angry d childish n true way show deep affection care n nice day da,0.179
ham,,0.027
ham,up shipping company take way take week get lag bribe stuff,0.179
ham,know ready,0.038
ham,necessarily expect,0.097
ham,yummy babe nice jolt,0.043
ham,lover need,0.036
spam,try contact reply offer video handset network min unlimited text  reply,0.154
ham,m park come today think,0.074
ham,,0.003
ham,go shop cos sis dun disturb u,0.085
ham, ring ur h,0.051
spam,hey horny want chat naked text hot text charge text stop,0.121
ham,dint come,0.026
ham, plan trip,0.035
ham,sure try hold,0.047
spam,ur service change free credit choose content stop club stop po,0.159
ham, flash jealous,0.047
spam,club single chart mobile week choose quality message free charge,0.133
ham,come mu sort narcotic situation,0.053
ham,night end day morning come special way smile like sunny ray leave worry blue blue bay,0.147
spam,bonus special pound genuine voucher win answer easy question play send,0.155
ham,guess car,0.037
ham,objection come,0.031
ham,,0.008
ham,tell rob mack theater,0.038
ham,awesome bit,0.03
ham,send type food like,0.047
ham, hand celebration swing,0.056
ham,get call tool,0.022
ham,u miss,0.019
ham, ask money far,0.029
ham,,0.007
ham,yeah think usual guy pass night anybody let know throw,0.121
ham,k come tonight class let early,0.058
ham,,0.004
ham,hi baby m girl friend r u hour home s alright love jenny,0.148
ham,life mean lot love life love people life world call friend ,0.16
ham,dear shall mail street shall update look good real sense,0.152
ham,hey tell ah,0.037
ham,u find feel stupid da v cam work,0.055
ham,get bit,0.021
ham,,0.022
ham,accidentally delete message resend,0.05
spam,t mobile customer claim free camera phone upgrade pay card loyalty end apply,0.159
ham,situation gurl appropriate,0.067
ham,hurt tease cry end life die rise grave stupid miss u nice day,0.153
ham,not pick phone right send message,0.051
ham,need coffee run believe time week,0.067
ham,awesome remember time get somebody high time diesel v,0.088
ham,shocking scary not imagine night u think crash night save taxi,0.157
ham,oh way food want meal tonight,0.091
ham,actor,0.024
spam, blind date m united kingdom check  w blind send hide,0.146
ham, think book,0.057
ham,ask u meet,0.026
ham,yes friendship thread cause u will buy stuff,0.071
spam, check new selection content gossip babe sport mobile fit funky text wap,0.138
ham,garage key bookshelf,0.055
ham,today accept day u accept brother sister lover mean enemy,0.156
spam,think ur smart win week weekly quiz text play po box  week,0.133
ham,say friend get money definitely buy end week,0.119
ham,hi way u normal real ur hope know u rest hope u find wot lose,0.142
ham,day great day,0.041
ham,happy,0.026
ham, guess n power yoga power yoga get lo forget,0.119
ham,dude friend afraid,0.046
spam, mobile entitle update late colour camera mobile free mobile update free,0.157
ham,coffee cake guess,0.023
ham,merry babe love ya kiss,0.051
ham,hey not watch x man lunch ,0.062
ham,cud u tell m b bit cos bus gon past cos m pete x,0.107
ham,great guild meet road touch weekend plan flight good week,0.157
ham,problem ,0.03
ham,call message miss call,0.032
ham,hi class,0.031
ham,good sign know track record read woman,0.079
ham,cool text park,0.032
ham,read text send mean joke read light,0.086
ham,movie,0.022
ham,maybe book return immediately ,0.076
spam,penny minute fix line access number prepayment direct access,0.128
ham,chance evaporate soon violate privacy steal phone number employer cool contact report supervisor,0.232
spam,valentine day special win quiz partner trip lifetime send  ,0.158
ham,ta home babe,0.045
ham,cool come not wine dine,0.057
ham,sleep surf,0.026
ham,sorry later,0.022
ham,u call right hand phone,0.041
ham,great lot,0.028
ham,post come text happy reading hello caroline end bless,0.151
ham,u hide stranger,0.029
ham,interested like,0.034
ham,sister clear round soft yesterday,0.052
ham,practice go,0.033
ham,dis see ur mail case not send u dis,0.085
ham,small prestige problem,0.031
spam,fancy shag  interested  cost  x,0.111
ham,check miss see great month,0.078
ham,help,0.05
ham,car hour half go,0.063
ham,today sorry day angry misbehave hurt slap ur fault basically good,0.148
ham,yo guy figure need alcohol jay try figure safely spend weed,0.129
ham,minute ago ,0.045
ham,thank call forgot happy fine remember meet insurance person meet ex join,0.202
spam,congratulation ur award voucher guarantee free entry draw music,0.15
spam,ur cash balance currently pound maximize ur cash send cash row,0.148
ham,actor work work evening sleep late unemployed moment sleep late unemployed day,0.168
ham,hello get st boy long way cold post,0.085
ham,ha ha cool cool,0.038
ham,oh prob,0.015
ham,check status right,0.031
ham,busy try finish new year look forward finally meet,0.088
ham,good afternoon sunshine dawn day refresh happy alive breathe air smile think love ,0.16
ham,know z care worry,0.05
spam,offer late free double orange ,0.165
spam,discount code stop message reply stop customer,0.129
ham,wat uniform ,0.026
ham,cool text ready,0.031
ham,hello miss wake wish bed cuddle love,0.129
ham,spoil bed,0.034
ham,go bath min,0.054
ham,not talk people sure pay agree price tell want buy willing pay,0.162
spam,thank order reference charge week call customer service,0.157
ham,happen,0.023
ham,see face,0.053
ham,lot thing happen new year sigh bar blue heron go,0.131
ham,bring,0.036
ham,teach sir call like s verify project tell today pa not mistake,0.143
ham,guess worried know way body repair sure worry slow test guide ovulation relax say reason worry,0.3
ham,yeah sure couple minute track wallet,0.059
ham,hey leave big care,0.042
ham,hey late ah meet,0.041
spam,double min free orange available phone ,0.149
ham,take owl lick,0.022
ham,customer place,0.031
ham,time not like fun,0.03
spam,half price orange line rental late camera phone free phone free update,0.155
ham,have lunch buffet u eat,0.047
ham,huh late dinner,0.025
ham,hey sit go ,0.08
ham,morning,0.022
ham,yes think office lap room think s day not shut,0.115
ham,pick bout time go,0.056
ham,performance award calculate current month period,0.102
ham,actually sleep u text rock sis send u text wen wake,0.118
ham,put business picture ass open people meet think picture room hurt feel violate,0.221
ham,good evening sir al happy news grace god get offer join hope fine meet visitor,0.204
ham,k want change field quickly system administrator network administrator,0.114
spam,free text poly text true tone help free tone e stop,0.156
ham,dear talk,0.039
ham,hair cream ship,0.036
ham,happen til,0.048
ham,yep great tree burn start hour,0.077
ham,drive man know lot stoner,0.06
ham,slightly disastrous class darling hope day coffee good stay late tomorrow time place,0.168
ham,hello good week fancy drink later,0.051
ham,,0.022
ham,message text missing sender missing number miss send date miss miss u lot s y miss send,0.152
ham,come room point iron plan weekend,0.075
ham,cos want thing,0.03
ham, yan skip cine den blah blah blah,0.095
ham,bring home,0.024
spam,date service,0.049
ham, not u want sleep,0.035
ham,alright new goal,0.029
spam,free entry weekly competition text word win ,0.106
ham,alright head minute text meet,0.066
spam,send ur lover name join heart love love eve yahoo  ad,0.159
ham,week take live,0.048
spam,contact date service enter phone fancy find landline ,0.162
ham,siva hostel,0.024
spam,urgent mobile number award prize guarantee land line claim valid ,0.136
ham,send ur friend receive ur voice speak expression attitude reply,0.248
ham,  guess,0.025
ham,dear,0.027
ham,pain urination thing,0.037
ham,esplanade mind give lift cos get car today,0.069
ham,buy car urgently  shortage source dis amt lac that prob,0.15
ham,home watch,0.024
ham,usually minute respond yes question,0.08
spam, video camera phone call cost ave vary mobile close post,0.157
ham,book ticket,0.025
ham,available like right th,0.073
ham,message send dollar pay,0.089
ham,ask g tell story like time,0.058
ham,long,0.036
ham,hi hope u journey not min late think,0.076
ham, like love arrange,0.047
ham,yes great tell well cricketer tough,0.104
ham,suppose wake,0.038
ham, see tot din c find group,0.069
ham,sorry later,0.022
ham,hey  howdy gorgeous,0.066
ham,sorry battery die come get gram place,0.094
ham,exercise yeah remember wot,0.07
ham,will not concentration dear know mind,0.073
ham, plan new year,0.042
ham,min later k,0.017
ham,hank,0.013
ham,thank hope good day today,0.045
ham,detail want,0.057
ham,tell stay yeah tough optimistic thing improve month,0.105
spam,loan purpose homeowner tenant welcome previously refuse help free text help,0.162
ham,si si think ill truffle,0.047
ham,look amy ure beautiful intelligent woman like u lot know u don t like like don t worry,0.117
ham,hope result consistently intelligent kind start ask practicum link ear open good ,0.158
ham,cost guess not bad miss ya need ya want ya love ya,0.079
ham,go different decision cope heal believe,0.142
ham,u phone go to die stay,0.062
ham,great well day give reason thank god,0.071
spam,orange customer claim free camera phone upgrade loyalty  offer end apply opt available,0.175
ham,sorry later bye,0.029
ham,way railway,0.029
ham,great princess love give receive oral doggy style position  enjoy make love time night,0.148
ham,stuff road get slippery,0.083
ham,go ride bike,0.037
ham,need wait e rain stop,0.044
ham,company tell language,0.045
spam, dear final notice collect holiday cash award landline ,0.161
ham,long scream princess,0.05
ham, mean money enter account bank remove flat rate transfer account dollar get remove bank differ charge sure trust person send account detail cos,0.298
spam,want lay tonight want real location send direct ur mob join large network moan ,0.159
ham,nice line say broken heart cum time wise trust u good t,0.125
ham,go to head like minute,0.051
ham,love love u lot,0.028
ham,tension problem,0.034
ham,k pick,0.046
ham,guy get g say think stay,0.081
ham,u sec,0.028
ham,yo friend ask work weekend,0.09
ham,watch,0.018
ham,thank baby not wait taste real thing,0.054
ham,change,0.055
ham,win long time,0.045
spam,free message activate free text message reply message word free term condition visit,0.146
ham,dear reach railway happen,0.04
ham,depend quality want type send fade glory want ralph maybe,0.107
ham,think fix send test message,0.05
ham,sorry man account dry want trade half buy credit card,0.12
spam,year special cinema pass  c v free   not miss,0.16
ham,sorry meet later,0.032
ham,class reunion,0.034
ham,free,0.032
ham,got ,0.016
ham,nope think sorry reply late,0.067
ham,tell confirm true,0.055
ham,center right,0.043
ham,dear room,0.023
ham,fight world easy u win lose close u u lose u lose u win u lose,0.149
ham,come,0.021
ham,check,0.023
ham, go fish water,0.04
spam,week competition draw u win prize claim stop ,0.169
ham,wait e car wat cos wait outside get home stuff watch wat,0.117
ham,maybe park village place near house,0.062
ham,know  bring money school fee pay rent stuff like s need help friend need,0.166
ham,significance,0.024
ham,opinion     lovable silent character mature stylish simple reply,0.136
ham,late g scrounge ammo want new ak try,0.099
ham,heart sory,0.045
ham,forgive,0.023
ham,change tat,0.025
spam,guarantee late phone player prize word collect ,0.147
ham,competition,0.026
spam,tone reply poly mono cha cha slide yeah  slow toxic come stop tone,0.146
spam,credit top renewal pin,0.089
ham,way transport problematic sit night way u want ask n join feel free need know definite no book,0.168
ham,usually person unconscious child adult behave abnormally ,0.117
ham,,0.046
ham,shall come pickle,0.026
ham,go to,0.028
ham,rude campus,0.032
spam,urgent mobile award bonus caller prize attempt contact ,0.144
ham,hi will b enjoy n merry,0.057
spam,today offer claim ur worth discount voucher text yes member offer mobile t sub reply x,0.158
ham,yes pretty lady like single,0.042
spam,tone term condition channel u,0.111
ham,jay say double,0.036
spam,private account statement show un redeem point identifier code expire,0.146
ham,today holiday work,0.05
ham,practice go,0.033
ham,late,0.015
ham,call hope malaria know miss guy miss bani big love especially great day,0.177
ham,good afternoon love go day hope maybe get lead job think send passionate kiss sea,0.16
ham,probably go to later tonight,0.063
ham,maybe fat finger press button know,0.084
ham,happy return d day dear sweet heart happy birthday dear,0.084
ham,da start office,0.057
spam,month web stop,0.096
ham,famous quote develop ability listen unconditionally lose temper self confidence mean married,0.169
ham,go college pa  ill come self ,0.076
ham,oclock bash flat plan,0.047
ham,girl stay bed girl need recovery time d pass have fun bed,0.13
ham,special,0.023
ham,know need hotel get invitation sweet come bloke,0.149
ham,sorry take long,0.032
ham,wait min,0.022
ham,minute think alibi cut hair time,0.101
ham,imagine finally sink bath pace maybe have eat leave imagine feel cage cock surround bath water remind own enjoy cuck,0.281
ham,hurry weed deficient like day,0.054
ham,sure astoundingly tactless generally demand blood oath,0.12
ham, night warm bath drink cup milk work magic need loose weight know,0.138
ham,look fry pan case s cheap book s silly fry pan t likely book,0.135
ham,cause mutation like essential,0.066
ham,have,0.04
ham,know friend tell,0.04
ham,hi princess thank pic pretty ,0.07
ham, u c ex haven reply time u reply fast y lucky huh get ur ah gee,0.16
ham,hi office,0.026
ham,e brownie v nice,0.032
ham, love barely stand,0.051
spam,gent try contact weekend draw show win prize guarantee  claim code valid ,0.159
ham,babe miss know let send money net need want crave,0.146
ham,ill u address will not stop bad k eh,0.103
ham,bed ride ey think,0.045
ham,anyways gym love smile hope have good day babe miss,0.142
ham,love daddy scream pleasure go slap ass dick,0.092
ham,wot u missy,0.026
ham,yar wait mum finish lunch morning stay home clean room room clean,0.134
ham,know lab goggle go,0.037
ham,open door,0.022
ham,wait,0.022
ham,nope wait daddy,0.033
spam,win cash prize claim,0.069
ham,tired argue week week want,0.109
ham,wait finish,0.036
spam,mobile number win claim call ring claim hot line,0.099
ham,marriage u r snake bite love marriage dance d snake bite bite,0.14
ham,huh early have dinner outside,0.051
ham,need change say,0.046
spam,try contact reply offer min new video phone reply free delivery tomorrow,0.149
ham,ex wife able want day,0.063
ham, hope show tendency care live dream,0.095
ham,tell u headache want use hour sick time,0.069
ham,dun quit jazz yogasana meet em lesson den,0.11
ham,ring hardly,0.055
ham,ya well tho,0.027
ham,meeting later,0.034
spam,ur chance win shopping spree shop ,0.126
spam,specially select receive pound award line close cost  apply ,0.142
spam,private account statement show un redeem point  identifier code expire,0.148
ham,grand,0.024
ham,meet stranger choose friend long world stand friendship end let friend forever gud,0.147
ham,great ,0.024
ham,gud dear nice day,0.029
spam,important customer service announcement  ,0.086
ham, exhaust train morning wine pie sleep,0.087
ham,go buy mum present ar,0.038
ham,mind occur stop swim ocean,0.104
ham,u send home ready,0.059
ham,speak cash,0.038
ham,happy come noon,0.038
ham,meet lunch la,0.022
ham,care n soon,0.025
spam,soiree rose ladies ,0.135
ham,mean not wait u get banter,0.087
ham,mind,0.019
ham,fine drink want come find,0.066
spam,day kick u keep date late news result daily remove send stop,0.14
ham,valentine game send dis ur friend  answer r d love colour suit,0.156
ham,dependent,0.022
ham,today nice catch ave find time oh care c u,0.107
ham,call say choose future,0.065
ham,valentine know early hundred handsome beauty wish think finish auntie uncle,0.149
ham,like v shock cos tell like tell like know get ask ur reaction,0.137
ham,family happiness,0.025
ham,come n pick come immediately aft ur lesson,0.06
ham,let snow let snow kind weather bring friendship grow,0.103
ham,dear get dollar hi hi,0.037
ham,good word word leave u dismay time,0.058
ham,sure birthday minute far concerned,0.087
ham,sorry get thing pub later,0.058
ham,straight bring bud drink actually little useful straight cash,0.123
ham,good hear officially pay market,0.067
ham,lick center pop,0.066
ham,r e teacher say face look long ask cut short,0.102
spam,new chat horny guy ur area free receive search ,0.13
spam,today number end select receive award number match receive award,0.148
ham,not like hi hi hi,0.035
ham,thank u,0.008
ham,oh message think send,0.062
ham,get pound hope,0.058
spam,dear voucher holder claim week offer stop text stop,0.143
ham,n funny,0.02
ham,sweetheart hope have kind day load reason smile ,0.1
ham,login time dad fetch home,0.051
ham,shower baby,0.036
ham,u question hour answer,0.053
ham,definitely need restock thanksgiving let know,0.088
ham,say kiss kiss sound effect gorgeous man kind person need smile brighten day,0.133
ham,probably go to swing wee bit,0.036
ham,ya nice  ready,0.037
ham, brave bus take train triumph mean b ham jolly good rest week,0.127
ham,watch cartoon listen music eve temple church u,0.092
ham,mind ask happen not uncomfortable,0.08
spam,private account statement show un redeem point  identifier code expire,0.136
ham,prob send,0.035
spam,win cash prize claim ,0.097
ham,s cool slow gentle rough hard,0.066
ham,go to sorry normal start panic time sorry see,0.119
ham,wait know town bet drug,0.065
ham,fine miss,0.026
ham,u get person story,0.028
ham,tell drug dealer get impatient,0.045
ham,sun not come earth send ray cloud not come river send rain not come meet u send care gud,0.157
ham,place man,0.036
ham,not sense free need know,0.094
spam,premium phone service,0.059
ham,sea lay rock rock envelope envelope paper paper word,0.14
ham,mum repent,0.022
ham,sorry go home daddy come fetch later,0.057
ham,leave start prepare,0.043
ham,yes baby study position sutra,0.061
ham,en tea coffee,0.056
ham,minute need buy,0.054
ham,pay,0.037
ham,good evening ,0.025
ham,u receive,0.021
ham,ho ho big belly laugh ya,0.036
spam, post cool,0.042
spam,ur free reply tone tone phone week opt send stop,0.153
ham,ditto will worry say like say night want  peace,0.153
ham,get way pick,0.046
ham,not pa drink milk,0.034
ham,maybe hi find get card great escape,0.08
ham,piggy r u awake bet sleep go lunch,0.069
ham,cause freaky,0.024
ham,miss cause yell scrappy miss wait u come home lonely today,0.108
ham,hex place talk explain,0.046
ham,log wat ,0.03
ham,go e lunch,0.022
spam,hi sue year old work love sex text live bedroom text sue ,0.158
ham,want ask wait finish cos finish hour,0.087
ham,finish work ,0.03
ham,king crying baby great building map u r today u reach gud,0.143
ham,dear case u r come u shall reach tell day u r engage an holiday,0.169
ham,thank love torch bold,0.042
spam,immediately urgent message wait,0.111
ham,farm open,0.018
ham,sorry trouble u buy dad  big small sit n sun ,0.109
ham,sister law hope have great month say hey ,0.076
ham,purchase d stuff today mail po box number,0.073
ham,ah poop look like ill prob send fix problem,0.092
ham,good good job like entrepreneur,0.036
ham,close place,0.054
ham,meet corporation st outside gap mind work,0.078
ham,mum ask buy food home,0.03
ham,k u not reply,0.04
ham,r willing pay,0.029
ham,sorry later,0.022
ham,important prevent dehydration give fluid,0.077
ham,s bit weird suppose happen good idea sure pub,0.109
ham,true dear sit pray evening feel time,0.075
ham,think away trek long family town sorry,0.076
ham,gym,0.03
ham,late lar  wun b,0.049
spam,review fantastic n gage game deck club alert reply word,0.155
spam,half price orange line rental late camera phone free phone free update ,0.16
ham,height confidence aeronautics professor wer wer sit aeroplane sit wer tell plane student dey hurry d plane not student,0.269
ham,like weird timing night g want come smoke day attribute come make smoke,0.195
spam,cost,0.037
ham,save stress person dorm account send account detail money send,0.125
ham,know lunch menu da know,0.048
ham,stuff sell tell,0.039
spam, urgent attempt contact won  ,0.161
ham,book lesson  work go spec membership,0.121
spam,win guarantee cash prize claim yr prize customer service representative,0.145
ham,not feel assume evening wonderful plan let life begin,0.162
ham,oh send address,0.029
ham,  good,0.038
ham,,0.025
ham,ya jelly,0.04
ham,world run feel admit let run world u r run,0.226
ham,get look scrumptious daddy want eat night long,0.07
ham,cos lar ba dao y u ask ah say u ask say u ask today,0.14
ham,alright get to change order,0.047
ham,exactly anyways far study visit,0.063
ham,y u ask,0.017
spam,low cost listen,0.101
ham, spring come early,0.041
ham,will feel bad use money steak dinner,0.08
ham,u not trouble convincing twice neglect not c read not reply,0.137
ham,leave tonite search go add ur prayer dear ,0.103
ham,talk,0.029
ham,thank look appreciate,0.051
spam,hi customer loyalty offer new mobile word start ,0.148
ham,wish,0.025
ham,rite u know da feeling like u fast find gal group attach,0.149
ham,yes glad,0.038
ham,little time thing good time ahead,0.062
ham,get room soon  clock til shout hour bed,0.181
ham, free gym,0.034
ham,man like short lady gaze eye,0.047
ham, time,0.04
ham,promise good care princess run send pic chance ,0.11
spam,u subscribe good mobile content service day send stop ,0.131
ham,reason speak year anyway great week good exam,0.101
ham,week gist,0.042
spam,realize year thousand old lady run tattoo,0.102
spam,important customer service announcement premier,0.065
ham,not lip,0.027
ham,library,0.031
ham,sorry number confused r u,0.082
ham,not holla,0.023
ham,not think spare room head,0.059
ham,faith make thing possible hope make thing work love make thing beautiful,0.133
